organization,org_code,week,year,start_date,end_date,approve,disapprove,neither,unsure,mixed ,dk,n,lv,rv
CNN-USATODAY-GALLUP,1,4,2001,02/02/01,02/05/01,57,25,18,18,,,1003,,
CNN-USATODAY-GALLUP,1,5,2001,02/10/01,02/12/01,57,25,18,18,,,1016,,
CNN-USATODAY-GALLUP,1,7,2001,02/20/01,02/22/01,62,21,17,17,,,1016,,
CNN-USATODAY-GALLUP,1,9,2001,03/06/01,03/08/01,63,22,15,15,,,1060,,
CNN-USATODAY-GALLUP,1,9,2001,03/10/01,03/12/01,58,29,13,13,,,1015,,
CNN-USATODAY-GALLUP,1,12,2001,03/27/01,03/29/01,53,29,18,18,,,1024,,
CNN-USATODAY-GALLUP,1,13,2001,04/07/01,04/09/01,59,30,11,11,,,1025,,
CNN-USATODAY-GALLUP,1,15,2001,04/21/01,04/23/01,62,29,9,9,,,1015,,
CNN-USATODAY-GALLUP,1,18,2001,05/08/01,05/10/01,53,33,14,14,,,1005,,
CNN-USATODAY-GALLUP,1,18,2001,05/11/01,05/15/01,56,31,13,13,,,1012,,
CNN-USATODAY-GALLUP,1,19,2001,05/19/01,05/21/01,56,36,8,8,,,1010,,
CNN-USATODAY-GALLUP,1,22,2001,06/09/01,06/11/01,55,35,10,10,,,1011,,
CNN-USATODAY-GALLUP,1,23,2001,06/12/01,06/18/01,55,33,12,12,,,1004,,
CNN-USATODAY-GALLUP,1,25,2001,06/29/01,07/02/01,52,34,14,14,,,1014,,
CNN-USATODAY-GALLUP,1,27,2001,07/11/01,07/12/01,57,35,8,8,,,998,,
CNN-USATODAY-GALLUP,1,28,2001,07/20/01,07/23/01,56,33,11,11,,,1038,,
CNN-USATODAY-GALLUP,1,30,2001,08/04/01,08/06/01,55,35,10,10,,,1017,,
CNN-USATODAY-GALLUP,1,31,2001,08/11/01,08/13/01,57,35,8,8,,,1017,,
CNN-USATODAY-GALLUP,1,32,2001,08/17/01,08/20/01,57,34,9,9,,,1013,,
CNN-USATODAY-GALLUP,1,33,2001,08/25/01,08/27/01,55,36,9,9,,,814,,
CNN-USATODAY-GALLUP,1,35,2001,09/08/01,09/11/01,51,39,10,10,,,1004,,
CNN-USATODAY-GALLUP,1,36,2001,09/15/01,09/16/01,86,10,4,4,,,1032,,
CNN-USATODAY-GALLUP,1,37,2001,09/22/01,09/23/01,90,6,4,4,,,1005,,
CNN-USATODAY-GALLUP,1,39,2001,10/06/01,10/07/01,87,10,3,3,,,819,,
CNN-USATODAY-GALLUP,1,40,2001,10/12/01,10/15/01,89,8,3,3,,,1011,,
CNN-USATODAY-GALLUP,1,41,2001,10/20/01,10/22/01,88,9,3,3,,,1006,,
CNN-USATODAY-GALLUP,1,43,2001,11/03/01,11/05/01,87,9,4,4,,,1012,,
CNN-USATODAY-GALLUP,1,44,2001,11/09/01,11/12/01,87,9,4,4,,,1005,,
CNN-USATODAY-GALLUP,1,45,2001,11/27/01,11/28/01,87,8,5,5,,,1025,,
CNN-USATODAY-GALLUP,1,48,2001,12/07/01,12/10/01,86,10,4,4,,,1002,,
CNN-USATODAY-GALLUP,1,49,2001,12/15/01,12/17/01,86,11,3,3,,,1019,,
CNN-USATODAY-GALLUP,1,53,2002,01/08/02,01/10/02,84,12,4,4,,,1015,,
CNN-USATODAY-GALLUP,1,53,2002,01/12/02,01/15/02,83,13,4,4,,,1008,,
CNN-USATODAY-GALLUP,1,55,2002,01/26/02,01/28/02,84,13,3,3,,,1011,,
CNN-USATODAY-GALLUP,1,57,2002,02/05/02,02/07/02,82,14,4,4,,,1011,,
CNN-USATODAY-GALLUP,1,57,2002,02/09/02,02/11/02,82,14,4,4,,,1001,,
CNN-USATODAY-GALLUP,1,59,2002,03/02/02,03/04/02,81,14,5,5,,,863,,
CNN-USATODAY-GALLUP,1,60,2002,03/05/02,03/08/02,77,18,5,5,,,,,
CNN-USATODAY-GALLUP,1,60,2002,03/09/02,03/10/02,80,14,6,6,,,802,,
CNN-USATODAY-GALLUP,1,62,2002,03/23/02,03/25/02,79,17,4,4,,,1011,,
CNN-USATODAY-GALLUP,1,64,2002,04/06/02,04/08/02,76,19,5,5,,,1009,,
CNN-USATODAY-GALLUP,1,65,2002,04/09/02,04/12/02,75,20,5,5,,,1003,,
CNN-USATODAY-GALLUP,1,67,2002,04/23/02,04/25/02,77,17,6,6,,,1009,,
CNN-USATODAY-GALLUP,1,68,2002,04/30/02,05/02/02,77,20,3,3,,,1002,,
CNN-USATODAY-GALLUP,1,69,2002,05/07/02,05/10/02,76,19,5,5,,,1012,,
CNN-USATODAY-GALLUP,1,71,2002,05/21/02,05/23/02,76,17,7,7,,,1002,,
CNN-USATODAY-GALLUP,1,72,2002,05/29/02,05/30/02,77,17,6,6,,,1003,,
CNN-USATODAY-GALLUP,1,73,2002,06/04/02,06/07/02,70,23,7,7,,,1010,,
CNN-USATODAY-GALLUP,1,73,2002,06/08/02,06/09/02,74,18,8,8,,,800,,
CNN-USATODAY-GALLUP,1,75,2002,06/18/02,06/20/02,74,20,6,6,,,1005,,
CNN-USATODAY-GALLUP,1,75,2002,06/22/02,06/24/02,73,21,6,6,,,1020,,
CNN-USATODAY-GALLUP,1,76,2002,06/29/02,07/01/02,76,19,5,5,,,1019,,
